#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR17_DESCSUPERCOIL_TX_RH1	Pos	CH	102	0	0	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR18_DESCSUPERCOIL_TX_RH1	Pos	CH	1288	4	0.3	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR19_DESCSUPERCOIL_TX_RH1	Pos	CH	1147	25	2.2	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR20_DESCSUPERCOIL_TX_RH1	Pos	CH	1212	6	0.5	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR21_DESCSUPERCOIL_TX_RH1	Pos	CH	48	0	0	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR22_DESCSUPERCOIL_TX_RH1	Pos	CH	1179	7	0.6	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR23_DESCSUPERCOIL_TX_RH1	Pos	CH	1363	42	3.1	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR24_DESCSUPERCOIL_TX_RH1	Pos	CH	1222	5	0.4	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR25_DESCSUPERCOIL_TX_RH1	Pos	CH	179	2	1.1	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR26_DESCSUPERCOIL_TX_RH1	Pos	CH	986	2	0.2	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR27_DESCSUPERCOIL_TX_RH1	Pos	CH	560	3	0.5	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR28_DESCSUPERCOIL_TX_RH1	Pos	CH	652	0	0	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR29_DESCSUPERCOIL_TX_RH1	Pos	CH	1580	5	0.3	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR30_DESCSUPERCOIL_TX_RH1	Pos	CH	353	1	0.3	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR31_DESCSUPERCOIL_TX_RH1	Pos	CH	49	0	0	PEAK
PBEH2_BCBC64_PLASMIDPFC53_T3TERMSHORT_VR01_DESCLINEARSCAI_NT	Pos	CH	604	0	0	PEAK
PBEH2_BCBC64_PLASMIDPFC53_T3TERMSHORT_VR02_DESCLINEARSCAI_NT	Pos	CH	373	2	0.5	PEAK
PBEH2_BCBC64_PLASMIDPFC53_T3TERMSHORT_VR03_DESCLINEARSCAI_NT	Pos	CH	774	2	0.3	PEAK
PBEH2_BCBC64_PLASMIDPFC53_T3TERMSHORT_VR04_DESCLINEARSCAI_NT	Pos	CH	300	1	0.3	PEAK
PBEH2_BCBC64_PLASMIDPFC53_T3TERMSHORT_VR05_DESCLINEARSCAI_NT	Pos	CH	377	1	0.3	PEAK
